Time:5/29/2020 1:07:00 PM	Open:301.2100	Close:301.2000	Volume:98135
Time:5/29/2020 1:06:00 PM	Open:301.2300	Close:301.2200	Volume:99274
Time:5/29/2020 1:05:00 PM	Open:301.3100	Close:301.2200	Volume:141835
Time:5/29/2020 1:04:00 PM	Open:301.3900	Close:301.3000	Volume:109169
Time:5/29/2020 1:03:00 PM	Open:301.6125	Close:301.4000	Volume:114068
Time:5/29/2020 1:02:00 PM	Open:301.4700	Close:301.6100	Volume:148035
Time:5/29/2020 1:01:00 PM	Open:301.6300	Close:301.4900	Volume:306573
Time:5/29/2020 1:00:00 PM	Open:302.1200	Close:301.6310	Volume:433437
Time:5/29/2020 12:59:00 PM	Open:301.4900	Close:302.1200	Volume:594492
Time:5/29/2020 12:58:00 PM	Open:300.8500	Close:301.4800	Volume:512068
Time:5/29/2020 12:57:00 PM	Open:300.8900	Close:300.8200	Volume:981091
Time:5/29/2020 12:56:00 PM	Open:300.2100	Close:300.5800	Volume:704030
Time:5/29/2020 12:55:00 PM	Open:300.5200	Close:300.2300	Volume:1144409
Time:5/29/2020 12:54:00 PM	Open:300.4500	Close:300.5100	Volume:66599
Time:5/29/2020 12:53:00 PM	Open:300.5300	Close:300.4500	Volume:154279
Time:5/29/2020 12:52:00 PM	Open:300.6900	Close:300.5250	Volume:108181
Time:5/29/2020 12:51:00 PM	Open:300.7065	Close:300.6950	Volume:73181
Time:5/29/2020 12:50:00 PM	Open:300.7850	Close:300.7100	Volume:59441
Time:5/29/2020 12:49:00 PM	Open:300.7981	Close:300.7800	Volume:49451
Time:5/29/2020 12:48:00 PM	Open:300.8796	Close:300.7900	Volume:46808
Time:5/29/2020 12:47:00 PM	Open:300.8000	Close:300.8750	Volume:74390
Time:5/29/2020 12:46:00 PM	Open:300.9800	Close:300.8050	Volume:113077
Time:5/29/2020 12:45:00 PM	Open:301.0400	Close:300.9900	Volume:102172
Time:5/29/2020 12:44:00 PM	Open:301.1200	Close:301.0400	Volume:54166
Time:5/29/2020 12:43:00 PM	Open:301.1900	Close:301.1200	Volume:97778
Time:5/29/2020 12:42:00 PM	Open:301.1400	Close:301.2000	Volume:44024
Time:5/29/2020 12:41:00 PM	Open:301.2900	Close:301.1400	Volume:74760
Time:5/29/2020 12:40:00 PM	Open:301.1900	Close:301.2900	Volume:91617
Time:5/29/2020 12:39:00 PM	Open:301.0000	Close:301.1850	Volume:97890
Time:5/29/2020 12:38:00 PM	Open:300.8250	Close:300.9999	Volume:53527
Time:5/29/2020 12:37:00 PM	Open:300.9400	Close:300.8300	Volume:123726
Time:5/29/2020 12:36:00 PM	Open:300.8598	Close:300.9400	Volume:57631
Time:5/29/2020 12:35:00 PM	Open:300.8700	Close:300.8450	Volume:56525
Time:5/29/2020 12:34:00 PM	Open:300.9899	Close:300.8600	Volume:61789
Time:5/29/2020 12:33:00 PM	Open:300.9000	Close:300.9800	Volume:41782
Time:5/29/2020 12:32:00 PM	Open:301.0500	Close:300.8700	Volume:56632
Time:5/29/2020 12:31:00 PM	Open:301.0600	Close:301.0400	Volume:80432
Time:5/29/2020 12:30:00 PM	Open:301.0000	Close:301.1300	Volume:832558
Time:5/29/2020 12:29:00 PM	Open:301.0400	Close:301.0000	Volume:60142
Time:5/29/2020 12:28:00 PM	Open:300.9500	Close:301.0400	Volume:79424
Time:5/29/2020 12:27:00 PM	Open:301.0100	Close:300.9500	Volume:66352
Time:5/29/2020 12:26:00 PM	Open:300.8900	Close:301.0000	Volume:557784
Time:5/29/2020 12:25:00 PM	Open:300.9050	Close:300.9000	Volume:82767
Time:5/29/2020 12:24:00 PM	Open:300.9900	Close:300.9100	Volume:64922
Time:5/29/2020 12:23:00 PM	Open:300.8850	Close:300.9900	Volume:136509
Time:5/29/2020 12:22:00 PM	Open:300.7500	Close:300.8800	Volume:71224
